RCPS Problem 1 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 13/2+05:47
asm_1.step_002 9/2+00:58
asm_1.step_003 8/2+04:53
asm_1.step_004 3/2+06:12
asm_1.step_005 18/2+06:25
asm_1.step_006 14/1+03:42
asm_1.step_007 20/2+00:51
asm_1.step_008 19/2+06:25
asm_1.step_009 16/2+03:30
asm_1.step_010 11/2+01:28
asm_1.step_011 8/1+00:58
asm_1.step_012 2/1+04:28
asm_1.step_013 17/1+03:30
asm_1.step_014 8/1+02:28
asm_1.step_015 5/2+00:58
asm_1.step_016 9/1+05:08
asm_1.step_017 5/2+02:59
asm_1.step_018 4/2+04:58
asm_1.step_019 4/2+06:18
asm_1.step_020 20/2+00:51
asm_1.step_021 6/2+03:13
asm_1.step_022 4/1+00:58
asm_1.step_023 4/2+01:53
asm_1.step_024 11/2+01:58
asm_1.step_025 1/1+01:30
asm_1.step_026 3/2+04:11
asm_1.step_027 7/2+00:53
asm_1.step_028 26/2+02:49
asm_1.step_029 5/1+02:43
asm_1.step_030 6/2+00:58
asm_1.step_031 19/2+00:21
asm_1.step_032 12/2+07:02
asm_1.step_033 22/1+06:58
asm_1.step_034 6/2+03:33
asm_1.step_035 5/2+06:58
asm_1.step_036 5/1+01:37
asm_1.step_037 4/2+06:18
asm_1.step_038 11/1+04:58
asm_1.step_039 4/2+03:23
asm_1.step_040 10/1+04:58
asm_1.step_041 11/1+05:03
asm_1.step_042 20/2+00:51
asm_1.step_043 20/2+00:51
asm_1.step_044 5/1+01:58
asm_1.step_045 8/2+00:28
asm_1.step_046 14/1+03:57
asm_1.step_047 1/2+07:05
asm_1.step_048 1/2+02:13
asm_1.step_049 16/1+00:56
asm_1.step_050 4/2+07:08
asm_1.step_051 3/2+07:12
asm_1.step_052 24/1+03:49
asm_1.step_053 8/1+02:28
asm_1.step_054 5/1+05:12
asm_1.step_055 22/2+03:28
asm_1.step_056 11/1+04:53
asm_1.step_057 2/1+01:13
asm_1.step_058 4/1+02:28
asm_1.step_059 7/1+01:58
asm_1.step_060 20/2+00:51
asm_1.step_061 7/1+02:23
asm_1.step_062 6/2+01:58
asm_1.step_063 10/2+00:58
asm_1.step_064 22/2+01:19
asm_1.step_065 3/2+01:13
asm_1.step_066 2/2+01:13
asm_1.step_067 5/2+01:23
asm_1.step_068 11/1+00:58
asm_1.step_069 13/2+04:47
asm_1.step_070 9/2+05:58
asm_1.step_071 9/2+06:28
asm_1.step_072 11/1+01:58
asm_1.step_073 5/2+06:17
asm_1.step_074 20/2+00:51
asm_1.step_075 3/1+04:18
asm_1.step_076 20/2+00:51
asm_1.step_077 4/2+00:33
